Row Labels,ABQ,ATL,AUS,BHM,BNA,BOS,BWI,CLE,CLT,CVG,DAL,DEN,DFW,ELP,EWR,FLL,HOU,HRL,IAD,IAH,IND,JAX,JFK,LAS,LAX,LBB,LGB,MAF,MCI,MCO,MDW,MEM,MSP,MSY,OAK,OKC,ONT,ORD,PHL,PHX,RDU,SAN,SEA,SFO,SJC,SLC,SNA,STL,TPA,TUL,TUS,TYS
23,-1.5,14.80263158,3.772642099,,23.8,3.333333333,16.29166667,3.5,17,7.952380952,7.351955307,10.68965517,10.08988764,4.795454545,20.4516129,5.5625,12.82894737,2.545454545,33,5.008333333,16.85714286,1.857142857,-0.857142857,-3.216216216,0.034482759,-1.304347826,20.25,-0.071428571,-1.357142857,5.75,20,-0.111111111,19,-4.933333333,1.875,10.33333333,25.11111111,5.975903614,-14.5,3.111111111,14.85714286,2.956521739,1.4,5.8,-7.903225806,8.277777778,8,-11.66666667,2.666666667,-3,13.71428571,
24,5.916666667,16.13333333,5.272335182,,9.703703704,12.66666667,1.708333333,0.818181818,19.40909091,6.217391304,4.55,7.8,5.648351648,4.930232558,18.55172414,19,6.626666667,3.1,14.86363636,11.91735537,-7.857142857,-14.57142857,4.136363636,4.357142857,3.155172414,9.954545455,36.71428571,1.1875,24.07142857,2.761904762,1.5,2.153846154,13.5,-4.357142857,1.75,79.33333333,16.6,8.927710843,-18.5,8.663043478,-3.75,-1.458333333,10.6,-0.263157895,3.125,8.210526316,-1,-20,0.5,-4.5,30.14285714,
25,-1.066666667,9.704225352,6.712865134,,4.884615385,-10.58333333,-0.782608696,7,15.42857143,7,12.70555556,3.674157303,9.95,3.840909091,-6.625,-0.625,7.216216216,10.54545455,17.21052632,2.363636364,-9,0.142857143,3.272727273,3.487179487,7.672727273,-0.727272727,12.375,13.5,-0.833333333,3,14.95652174,2.555555556,35,8.3125,1.25,45.66666667,24.3,25.98717949,-13.7,0.695652174,-6.375,3.375,32.4,9.35,7.166666667,3.222222222,2.875,-3.666666667,0.25,6.333333333,10.66666667,
26,4.272727273,16.32857143,6.102646869,,12.54166667,-6.916666667,1.826086957,12.83333333,24.36363636,3.611111111,11.31097561,4.409090909,5.926553672,3.840909091,10.26666667,14.5625,12.10958904,5.272727273,34.13043478,11.31355932,3,-7.714285714,-0.545454545,-4.675,-0.473684211,-0.045454545,12.25,0.285714286,8.071428571,-3.904761905,-3.739130435,0.481481481,1,-8.307692308,-1.75,-14.66666667,7.444444444,17.76923077,1.2,1.450549451,-4.571428571,8.5,-1.6,15.8,-3.275862069,12.6875,6.25,-4,-6,-16.33333333,5.714285714,
27,7.846153846,11.6,11.17216828,,12.52,-9.5,3.652173913,1.666666667,22.26315789,0.727272727,14.43103448,4.976190476,17.58433735,5.1,14.73076923,10.3125,11.42857143,16.58333333,72.81818182,6.411764706,1.666666667,-0.166666667,15.95,8.076923077,5.075471698,24.31818182,5.875,-0.266666667,11.41666667,-6.75,8.954545455,17.92592593,-7,9.928571429,0.875,6,3.75,27.12345679,4,5.372093023,53.75,11.29166667,38.8,8.5,14.32142857,12,15.375,-26,-2.166666667,-5,9.333333333,
28,-3.75,7.928571429,3.462116468,,15.25,23.08333333,-5.708333333,2.571428571,23.23809524,2.043478261,5.703910615,-1.047058824,8.078651685,0.282608696,16.4516129,-7.4375,1.986842105,-0.083333333,17.42857143,3.558333333,7.166666667,-2.5,9.76744186,-6.6,1.24137931,11.95454545,2.25,-2.0625,-6.071428571,8.428571429,4.181818182,-5,-19,-2.307692308,-3.875,-6,8.875,13.25,23.7,2.559139785,27,-1.208333333,63,12.35,0.827586207,1.473684211,-1.25,-16,-7.75,-9,30.5,
29,1.75,16.04,3.434431324,,10.73076923,-4.923076923,-1.375,18.76923077,17.59090909,10.0952381,3.518918919,-0.134831461,9.574712644,-0.044444444,4.133333333,-4.75,6.077922078,-0.833333333,1.909090909,4.147540984,-9,-6,2.533333333,2.261904762,6.232142857,-1.782608696,5.125,-4.4,2.230769231,-7.3,12.91666667,8.92,-13,-7.615384615,5.25,39.5,3.571428571,18.80722892,-22.3,2.542553191,51.14285714,2.565217391,-3.8,32.75,13.74193548,7.176470588,-1.125,1,0,-9.5,1.166666667,
30,-5.153846154,10.34848485,5.067649029,,5.458333333,6.666666667,-3.090909091,-3.272727273,10.38095238,4.736842105,7.325581395,4.146341463,5.180722892,1.219512195,10.12903226,5.6875,7.295774648,-0.363636364,21.76470588,5.256637168,-0.142857143,-4.666666667,0.804878049,-6.114285714,-0.981132075,-3.761904762,3.5,-1.538461538,-0.727272727,7.789473684,-0.5,10.82608696,3,-5.357142857,5.5,6,2.75,24.90277778,9.9,3.847058824,52.57142857,6.454545455,23,7.578947368,8.035714286,1.176470588,19.85714286,-11.5,5.666666667,-11,10,
31,20.25,20.17948718,8.541855204,,13.5,14.57142857,1,2.714285714,35.84615385,4.384615385,11.22093023,-2.098039216,15.03846154,4.5,37.625,-3.7,17.23684211,6.5,69,7.537313433,-18.75,-3.5,14.58333333,0.041666667,-1.9375,-2.545454545,0.5,2.444444444,31.5,4.076923077,27.85714286,2.857142857,,-2.714285714,-4,-1.5,3,23.075,19.83333333,1.37254902,16.2,2.384615385,25.33333333,12.5,-3.5,5.2,23.4,13.5,-6.285714286,41,5.75,
Grand Total,3.194379391,14.37635379,6.037031724,36,13.7629256,1.213114754,3.443681319,12.33957219,14.3500761,9.852307692,8.202964861,5.695716396,10.09861527,3.140508221,16.16469322,7.158995816,9.642731278,5.358543417,28.38961039,7.261572172,-2.748837209,-0.052863436,11.69036697,-0.07755102,1.422157434,1.785195936,15.73662551,1.604700855,6.572706935,1.244833068,9.486600846,5.933823529,13.41176471,-0.37414966,-0.131914894,16.5862069,12.33881579,17.69636964,2.114186851,2.691144708,29.84716157,2.008391608,9.248275862,7.837748344,4.471153846,8.851919561,7.943089431,-1.528089888,1.095367847,-1.275862069,11.15350877,98
